Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Loại hình hoạt động,Qui mô công ty
Production Shopfloor Planner,['Bình Dương'],09/12/2024,Sản xuất / Vận hành sản xuất,Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH LEGO MANUFACTURING VIỆT NAM,"Số 1 Đường số 3, Khu Công Nghiệp Việt Nam – Singapore III, Phường Hội Nghĩa, Thành phố Tân Uyên, Tỉnh Bình Dương, Việt Nam",HR Dept,Công ty đa quốc gia,1.000-4.999
Trưởng bộ phận Cung ứng tổ đội nhân công và Quản lý máy móc xây dựng,['Hà Nội'],09/12/2024,"Kiến trúc , Xây dựng , Bất động sản",Nhân viên chính thức,15 Tr - 25 Tr VND,Trên 3 Năm,Trưởng nhóm / Giám sát,31/01/2025,CÔNG TY CỔ PHẦN ĐẦU TƯ THIÊN ÂN,Tòa nhà XPhome Star - Khu đô thị Tân Tây Đô - Đan Phượng - Hà Nội,Mrs Tuyết,Cổ phần,100-499
Logistics Supervisor / Giám Sát Hậu Cần,['Hà Nội'],09/12/2024,"Vận chuyển / Giao nhận / Kho vận , Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Trưởng nhóm / Giám sát,14/01/2025,DE HEUS LLC,"12B Floor, Sofic Tower No.10 Mai Chi Tho, Thu Thiem, Thu Duc City",HR.DEPT,100% vốn nước ngoài,1.000-4.999
Nhân viên mua hàng,['Hà Nội'],09/12/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,Trên 8 Tr VND,,Nhân viên,31/01/2025,TECOTEC TECHNOLOGY,"Ct3A Mễ Trì Thượng, Nam Từ Liêm, Hà Nội",Nguyen Viet Anh,Cổ phần,10-20
Technical Writer,['Bình Dương'],09/12/2024,Biên phiên dịch,Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH LEGO MANUFACTURING VIỆT NAM,"Số 1 Đường số 3, Khu Công Nghiệp Việt Nam – Singapore III, Phường Hội Nghĩa, Thành phố Tân Uyên, Tỉnh Bình Dương, Việt Nam",HR Dept,Công ty đa quốc gia,1.000-4.999
Nhân viên Kế toán giá thành,['Bình Dương'],09/12/2024,"Kế toán / Kiểm toán , Ngân hàng , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,09/01/2025,CÔNG TY TNHH SX-TM-DV TÂN TƯỜNG KHANG,"Lô F1&F2, Đường D2&N5, KCN Nam Tân Uyên, Khánh Bình, Tân Uyên, Bình Dương",Ms Hiền- Ms Huyền,Trách nhiệm hữu hạn,500-999
Chuyên viên Kế hoạch Sản xuất & kinh doanh,['Thừa Thiên- Huế'],09/12/2024,Ngành khác,Nhân viên chính thức,Cạnh tranh,Lên đến 1 Năm,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN KIM LONG MOTOR HUẾ,"Đường nối quốc lộ 1A - cảng Chân Mây, Xã Lộc Tiến, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",Nguyễn Ngọc Quang,Cổ phần,1.000-4.999
Trưởng phòng Đối ngoại thị trường Đức,['Hà Nội'],09/12/2024,Quản lý điều hành,Nhân viên chính thức,15 Tr - 25 Tr VND,Trên 2 Năm,Trưởng nhóm / Giám sát,10/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN GIÁO DỤC VÀ ĐẦU TƯ EI,"Số 22 Võ Văn Dũng, Ô Chợ Dừa, Đống Đa, Hà Nội",Phòng Nhân sự EI,Cổ phần,100-499
[Đồng Nai] Nhân viên Pha chế (Hóa/Dược),['Đồng Nai'],09/12/2024,"Dược phẩm , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,"8,5 Tr - 9,5 Tr VND",,Nhân viên,09/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN Y DƯỢC EBC,"106 Bát Nàn, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",Phòng Tuyển dụng,Cổ phần,100-499
[Đồng Nai] Nhân viên Thiết kế Kỹ Thuật,['Đồng Nai'],09/12/2024,Mỹ thuật / Nghệ thuật / Thiết kế,Nhân viên chính thức,11 Tr - 15 Tr VND,Trên 2 Năm,Nhân viên,09/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN Y DƯỢC EBC,"106 Bát Nàn, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",Phòng Tuyển dụng,Cổ phần,100-499
Trợ Lý Kinh Doanh - Tại Hà Nội - Thu Nhập 12 - 15 triệu,['Hà Nội'],09/12/2024,"Bán hàng / Kinh doanh , Kế toán / Kiểm toán",Nhân viên chính thức,12 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,09/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN DƯỢC PHẨM STARMED,"Văn Quán, Hà Đông",Ms. Bich,Cổ phần,100-499
[Đồng Nai] Nhân viên Lễ tân,['Đồng Nai'],09/12/2024,Hành chính / Thư ký,Nhân viên chính thức,9 Tr - 10 Tr VND,Trên 1 Năm,Nhân viên,09/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN Y DƯỢC EBC,"106 Bát Nàn, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",Phòng Tuyển dụng,Cổ phần,100-499
Chuyên viên Kế hoạch Tổng hợp,['Thừa Thiên- Huế'],09/12/2024,Ngành khác,Nhân viên chính thức,Cạnh tranh,Lên đến 1 Năm,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN KIM LONG MOTOR HUẾ,"Đường nối quốc lộ 1A - cảng Chân Mây, Xã Lộc Tiến, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",Nguyễn Ngọc Quang,Cổ phần,1.000-4.999
Kỹ Sư Kiến Trúc Nhà Xưởng Công Nghiệp,['Hà Nội'],09/12/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Kiến trúc , Xây dựng",Nhân viên chính thức,15 Tr - 25 Tr VND,Trên 5 Năm,Nhân viên,31/01/2025,CÔNG TY CỔ PHẦN ĐẦU TƯ THIÊN ÂN,Tòa nhà XPhome Star - Khu đô thị Tân Tây Đô - Đan Phượng - Hà Nội,Mrs Tuyết,Cổ phần,100-499
Kế Toán Doanh Thu,['Hà Nội'],09/12/2024,Kế toán / Kiểm toán,Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,09/01/2025,CÔNG TY CP SCOTS ENGLISH AUSTRALIA,"Tầng 9, toà nhà Mitec, số 1 Dương Đình Nghệ, Cầu Giấy, Hà Nội",Ms Ngọc,Cổ phần,100-499
Phó phòng kế toán,['Hà Nội'],09/12/2024,Kế toán / Kiểm toán,Nhân viên chính thức,20 Tr - 30 Tr VND,3 - 4 Năm,Quản lý,31/12/2024,NHÀ SÁCH TIẾN THỌ,424 Nguyễn Trãi- Thanh Xuân - Hà Nội,Bộ phận tuyển dụng Tiến Thọ,Cổ phần,1.000-4.999
Deputy Administration Manager (Phó Phòng Hành Chính),['Bình Dương'],09/12/2024,"Hành chính / Thư ký , Quản lý điều hành",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Quản lý,31/01/2025,CÔNG TY CỔ PHẦN CHẾ BIẾN THỰC PHẨM HOÀNG SƠN,"Lô CN7, đường N4, khu công nghiệp Sóng Thần 3, Phường Phú Tân, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",P.HCNS,Cổ phần,
Trình Dược Viên OTC (Medical Rep),"['Thừa Thiên- Huế', 'Nghệ An', 'Cần Thơ']",09/12/2024,"Bán hàng / Kinh doanh , Dược phẩm , Hàng gia dụng / Chăm sóc cá nhân",Nhân viên chính thức,10 Tr - 17 Tr VND,1 - 3 Năm,Nhân viên,09/01/2025,CÔNG TY TNHH ROHTO-MENTHOLATUM (VIỆT NAM),"37 Ton Duc Thang, Ben Nghe Ward, District. 1, HCMC",Ms. Ngoc Lan,Trách nhiệm hữu hạn,1.000-4.999
Costing Leader,['Đồng Nai'],09/12/2024,"Kế toán / Kiểm toán , Quản lý điều hành",Nhân viên chính thức,Cạnh tranh,Trên 5 Năm,Trưởng nhóm / Giám sát,09/01/2025,CÔNG TY TNHH JONES & VINING (VIỆT NAM),"Đường Số 3, KCN Giang Điền, Xã Giang Điền, Huyện Trảng Bom, Tỉnh Đồng Nai",Ms. Luyến,Trách nhiệm hữu hạn,25-99
TÀI XẾ LÁI XE CHO GIÁM ĐỐC,['Hà Nội'],09/12/2024,"Vận chuyển / Giao nhận / Kho vận , Cơ khí / Ô tô / Tự động hóa , Ngành khác",Nhân viên chính thức,10 Tr - 15 Tr VND,Trên 3 Năm,Nhân viên,30/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI THÁI HÒA,"Số 11 đường số 5, khu đô thị mới An Phú - An Khánh, phường An Phú, Quận 2, thành phố Hồ Chí Minh",Tô Tiến Dũng,,25-99
Nhân Viên Bán Hàng Thời Trang (Vân Đình - Ứng Hòa),['Hà Nội'],09/12/2024,Bán lẻ / Bán sỉ,Nhân viên chính thức,8 Tr - 10 Tr VND,,Nhân viên,09/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN THỜI TRANG VIỆT NAM,"tầng 5, Tòa nhà Skyline Nguyễn Khuyến, Văn Quán,Hà Đông, Hà Nội",Mrs. Phương Thảo,Cổ phần,500-999
Trưởng nhóm Kinh doanh thị trường,['Hà Nội'],09/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng",Nhân viên chính thức,20 Tr - 30 Tr VND,Trên 3 Năm,Trưởng nhóm / Giám sát,09/01/2025,CÔNG TY CỔ PHẦN MÁY CÔNG TRÌNH PHÚC LONG,"Lô 6, CN5, Cụm Công nghiệp Ngọc Hồi",Phòng Nhân sự,,100-499
Kiểm soát viên - Chi nhánh Thanh Hóa - Chi nhánh mở mới 2025,['Thanh Hóa'],09/12/2024,Ngân hàng,Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Quản lý,31/12/2024,,,,,
Chuyên viên giải pháp nghiệp vụ (CNTT),['Thừa Thiên- Huế'],09/12/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,Lên đến 1 Năm,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN KIM LONG MOTOR HUẾ,"Đường nối quốc lộ 1A - cảng Chân Mây, Xã Lộc Tiến, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",Nguyễn Ngọc Quang,Cổ phần,1.000-4.999
NHÂN VIÊN LỄ TÂN PHÒNG KHÁM KHU VỰC ĐÔNG NAM BỘ,"['Bình Dương', 'Bình Phước', 'Long An']",09/12/2024,"Hành chính / Thư ký , Dịch vụ khách hàng , Bán lẻ / Bán sỉ",Nhân viên chính thức,Lên đến 9 Tr VND,Trên 1 Năm,Nhân viên,31/01/2025,HỆ THỐNG PHÒNG KHÁM 315,"207B Hoàng Văn Thụ, Phường 8, Quận Phú Nhuận, TP. HCM",Bộ phận tuyển dụng,Cổ phần,25-99
Phó Phòng Vận Tải Hành Khách,['Hà Nội'],09/12/2024,"Vận chuyển / Giao nhận / Kho vận , Quản lý điều hành , Dịch vụ khách hàng",Nhân viên chính thức,25 Tr - 30 Tr VND,Trên 5 Năm,Quản lý,09/01/2025,CÔNG TY TNHH X.E VIỆT NAM,"Số 10, Ngõ 15 Đường Ngọc Hồi, Hoàng Mai, Hà Nội",X.E VIỆT NAM,Trách nhiệm hữu hạn,500-999
Giao dịch viên - NCB Thanh Hóa - Chi nhánh mở mới 2025,['Thanh Hóa'],09/12/2024,Ngân hàng,Nhân viên chính thức,Cạnh tranh,,Nhân viên,31/12/2024,,,,,
Chuyên viên / Nhân viên Quản trị Ứng dụng,['Thừa Thiên- Huế'],09/12/2024,CNTT - Phần cứng / Mạng,Nhân viên chính thức,Cạnh tranh,Lên đến 1 Năm,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN KIM LONG MOTOR HUẾ,"Đường nối quốc lộ 1A - cảng Chân Mây, Xã Lộc Tiến, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",Nguyễn Ngọc Quang,Cổ phần,1.000-4.999
Nhân viên Công nghệ Thông tin,['Hà Nội'],09/12/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm",Nhân viên chính thức,10 Tr - 14 Tr VND,2 - 5 Năm,Nhân viên,13/12/2024,HỆ THỐNG GIÁO DỤC BMS,"Số 41 - 43, Đường 19/5, Phường Văn Quán, Hà Đông, Hà Nội",Phòng Nhân sự,Cổ phần,500-999
NHÂN VIÊN VẬN HÀNH MÁY IN (DECO),['Bình Dương'],09/12/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,09/01/2025,CÔNG TY TNHH LON NƯỚC GIẢI KHÁT TBC-BALL VIỆT NAM,"Số 2 Đường 18, KCN Việt Nam - Singapore II-A, Tân Uyên",TBC BALL VN,Trách nhiệm hữu hạn,
Chuyên viên Quản trị Mạng,['Thừa Thiên- Huế'],09/12/2024,CNTT - Phần cứng / Mạng,Nhân viên chính thức,Cạnh tranh,Lên đến 1 Năm,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN KIM LONG MOTOR HUẾ,"Đường nối quốc lộ 1A - cảng Chân Mây, Xã Lộc Tiến, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",Nguyễn Ngọc Quang,Cổ phần,1.000-4.999
NHÂN VIÊN THỦ KHO,['Hà Nội'],09/12/2024,"Lao động phổ thông , Quản lý điều hành , Vận chuyển / Giao nhận / Kho vận",Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Quản lý,31/12/2024,CÔNG TY TNHH THỰC PHẨM SẠCH THƯƠNG MẠI T&P,"Số 25A phố Gia Quất, phường Thượng Thanh, Long Biên, Hà Nội",Bộ phận tuyển dụng,Trách nhiệm hữu hạn,100-499
[BỆNH VIỆN ĐH PHENIKAA] NHÂN VIÊN CNTT (HỖ TRỢ PHẦN MỀM),['Hà Nội'],09/12/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,12 Tr - 17 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,,,,,
Nhân Viên Hậu Cần / Logistics Officer,['Hà Nội'],09/12/2024,"Vận chuyển / Giao nhận / Kho vận , Thực phẩm & Đồ uống , Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,09/01/2025,DE HEUS LLC,"12B Floor, Sofic Tower No.10 Mai Chi Tho, Thu Thiem, Thu Duc City",HR.DEPT,100% vốn nước ngoài,1.000-4.999
NHÂN VIÊN THU MUA,['Hà Nam'],09/12/2024,"Bán hàng / Kinh doanh , Quản lý điều hành",Nhân viên chính thức,12 Tr - 18 Tr VND,,Nhân viên,31/12/2024,,,,,
CHỦ QUẢN CHẤT LƯỢNG,['Thái Nguyên'],09/12/2024,"Quản lý điều hành , Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,15 Tr - 25 Tr VND,Trên 2 Năm,Quản lý,31/12/2024,,,,,
Graphic Design,['Hà Nội'],09/12/2024,"Tiếp thị / Marketing , Mỹ thuật / Nghệ thuật / Thiết kế , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,12 Tr - 15 Tr VND,Trên 1 Năm,Nhân viên,08/01/2025,CÔNG TY CỔ PHẦN PHÁT TRIỂN DỊCH VỤ VÀ THƯƠNG MẠI QUỐC AN,"Gian hàng SO-06L2 + SO-08A-L2 tại R2 Tòa nhà Vincom Mega Mall - Royal City 72A Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",Tuyển Dụng MBS Pilates,Cổ phần,100-499
Kỹ sư Giám sát xây dựng và hoàn thiện (Dự án Hilton Vũng Tàu),['Bà Rịa - Vũng Tàu'],09/12/2024,"Kiến trúc , Xây dựng , Bất động sản",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Nhân viên,09/01/2025,TẬP ĐOÀN BRG – CÔNG TY CP,"Số 198 Trần Quang Khải, phường Lý Thái Tổ, quận Hoàn Kiếm, thành phố Hà Nội, Việt Nam",BRG Group,Cổ phần,20.000-49.999
Chuyên Viên Kế Hoạch - Kỹ Thuật Xây Dựng,['Hà Nội'],09/12/2024,"Kiến trúc , Xây dựng , Bất động sản",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Nhân viên,09/01/2025,TẬP ĐOÀN BRG – CÔNG TY CP,"Số 198 Trần Quang Khải, phường Lý Thái Tổ, quận Hoàn Kiếm, thành phố Hà Nội, Việt Nam",BRG Group,Cổ phần,20.000-49.999
GAME DESIGNER - LẬP KẾ HOẠCH CHO GAME,['Hà Nội'],09/12/2024,"Biên phiên dịch , CNTT - Phần mềm , Mỹ thuật / Nghệ thuật / Thiết kế",Nhân viên chính thức,Cạnh tranh,Chưa có kinh nghiệm,Nhân viên,31/12/2024,KOEI TECMO SOFTWARE VIETNAM,"Tầng 17, Tòa nhà Peakview, Số 36 Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, TP Hà Nội",KOEI TECMO,100% vốn nước ngoài,100-200
[BỆNH VIỆN ĐH PHENIKAA] IT HELPDESK,['Hà Nội'],09/12/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,12 Tr - 17 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,,,,,
EHS ASSISTANT MANAGER,['Đồng Nai'],09/12/2024,"Môi trường , Sản xuất / Vận hành sản xuất , An toàn lao động",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Trưởng nhóm / Giám sát,06/01/2025,CÔNG TY TNHH INZI VINA,"Lô 220, Đường 10, KCN Amata, P. Long Bình, TP. Biên Hòa, Đồng Nai",HR Dept,100% vốn nước ngoài,1.000-4.999
Quản lý dịch vụ bảo hành,['Hà Nội'],08/12/2024,"Dịch vụ khách hàng , Quản lý điều hành , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,15 Tr - 17 Tr VND,2 - 5 Năm,Trưởng nhóm / Giám sát,31/12/2024,CÔNG TY CỔ PHẦN GREEN SPEED,"17 đường Đào Duy Từ, Khu phố Đông A, Phường Đông Hòa, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",Ms Thương,,500-999
GIÁM SÁT BÁN HÀNG NGÀNH FMCG KÊNH MT MIỀN BẮC,['Hà Nội'],08/12/2024,"Bán hàng / Kinh doanh , Thực phẩm & Đồ uống , Ngành khác",Nhân viên chính thức,18 Tr - 20 Tr VND,1 - 2 Năm,Trưởng nhóm / Giám sát,31/12/2024,CÔNG TY CỔ PHẦN THỰC PHẨM CHOLIMEX,"Lô C40-43/I, C51-55/II Đường Số 7, Khu công nghiệp Vĩnh Lộc, Xã Vĩnh Lộc A, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",Kim Liên,Cổ phần,1.000-4.999
"Trưởng Phòng Telesales (Lương cứng 25-30 triệu, Tổng thu nhập upto 60 triệu, Đi làm sau Tết)",['Hà Nội'],08/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Dịch vụ khách hàng",Nhân viên chính thức,30 Tr - 60 Tr VND,3 - 5 Năm,Quản lý,08/01/2025,CÔNG TY TNHH BIBABO,"Tòa nhà Comatce, 61 Nguỵ Như Kon Tum, Thanh Xuân, Hà Nội",HR Dept,Trách nhiệm hữu hạn,25-99
"HR Manager (Mạnh Xây Dựng Hệ Thống, Chính Sách)",['Hà Nội'],08/12/2024,"Hành chính / Thư ký , Quản lý điều hành , Nhân sự",Nhân viên chính thức,40 Tr - 50 Tr VND,5 - 7 Năm,Quản lý,08/01/2025,CÔNG TY TNHH BIBABO,"Tòa nhà Comatce, 61 Nguỵ Như Kon Tum, Thanh Xuân, Hà Nội",HR Dept,Trách nhiệm hữu hạn,25-99
Nhân Viên Phát Triển Thị Trường - Biên Hòa,['Đồng Nai'],08/12/2024,"Bán hàng / Kinh doanh , Tiếp thị trực tuyến , Bán lẻ / Bán sỉ",Nhân viên chính thức,10 Tr - 15 Tr VND,,Nhân viên,15/12/2024,CÔNG TY CỔ PHẦN CÔNG NGHỆ SEN ĐỎ,"Tầng 2, Tòa nhà FPT Tân Thuận. 29B-31B-33B đường Tân Thuận, KCX Tân Thuận",Tuyển dụng Sen Đỏ,Cổ phần,
NHÂN VIÊN KINH DOANH KHÁCH ĐOÀN CHI NHÁNH VIETRAVEL NGHỆ AN,['Nghệ An'],07/12/2024,"Bán hàng / Kinh doanh , Du lịch , Nhà hàng / Khách sạn",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,17/01/2025,,,,,
NHÂN VIÊN TIẾP THỊ TRUYỀN THÔNG KIÊM CSKH CHI NHÁNH NGHỆ AN,['Nghệ An'],07/12/2024,"Du lịch , Truyền hình / Báo chí / Biên tập , Tiếp thị / Marketing",Nhân viên chính thức,Cạnh tranh,Chưa có kinh nghiệm,Nhân viên,17/01/2025,,,,,
NHÂN VIÊN KINH DOANH KHÁCH LẺ CHI NHÁNH NGHỆ AN,['Nghệ An'],07/12/2024,"Bán hàng / Kinh doanh , Bán lẻ / Bán sỉ , Du lịch",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,17/01/2025,,,,,
NHÂN VIÊN KINH DOANH THUỘC VĂN PHÒNG BẮC NINH,[],,,,,,,,,,,,
NHÂN VIÊN KẾ TOÁN THỜI VỤ THUỘC CHI NHÁNH VIETRAVEL BÌNH DƯƠNG,['Bình Dương'],07/12/2024,"Du lịch , Kế toán / Kiểm toán",Bán thời gian,Cạnh tranh,Chưa có kinh nghiệm,Nhân viên,21/12/2024,,,,,
Production planning controller,['Bình Dương'],07/12/2024,"Sản xuất / Vận hành sản xuất , Đồ gỗ , Thu mua / Vật tư",Nhân viên chính thức,Cạnh tranh,2 - 8 Năm,Nhân viên,31/01/2025,VIETNAM FURNITURE RESOURCES (VFR),"47/4 DT743, Binh Chuan Ward, Thuan An Dist.,",Ms. Hương,100% vốn nước ngoài,1.000-4.999
Nhân viên thiết kế kỹ thuật,['Bình Dương'],07/12/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Đồ gỗ , Nội ngoại thất",Nhân viên chính thức,Cạnh tranh,3 - 10 Năm,Nhân viên,25/01/2025,VIETNAM FURNITURE RESOURCES (VFR),"47/4 DT743, Binh Chuan Ward, Thuan An Dist.,",Ms. Hương,100% vốn nước ngoài,1.000-4.999
Nhân viên Trợ lý Kinh doanh (Bình Dương),['Bình Dương'],07/12/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,7 Tr - 10 Tr VND,1 - 2 Năm,Nhân viên,31/01/2025,CÔNG TY CỔ PHẦN GIẢI PHÁP CƠ KHÍ VNTECH,"Số 39, Ngõ 285 đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, thành phố Hà Nội, Việt Nam.",Mr Nhàn,Cổ phần,25-99
Chuyên viên kinh doanh (Bình Dương),['Bình Dương'],07/12/2024,"Bán hàng / Kinh doanh , Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,15 Tr - 35 Tr VND,1 - 2 Năm,Nhân viên,31/01/2025,CÔNG TY CỔ PHẦN GIẢI PHÁP CƠ KHÍ VNTECH,"Số 39, Ngõ 285 đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, thành phố Hà Nội, Việt Nam.",Mr Nhàn,Cổ phần,25-99
Trưởng bộ phận kho vận,['Hà Nội'],07/12/2024,"Vận chuyển / Giao nhận / Kho vận , Lao động phổ thông , Dệt may / Da giày / Thời trang",Nhân viên chính thức,14 Tr - 16 Tr VND,3 - 4 Năm,Quản lý,07/01/2025,CÔNG TY TNHH MINH HƯƠNG P.N.D (THƯƠNG HIỆU THỜI TRANG MẶC NHÀ CAO CẤP SUNFLY),"Lô A2 - CN6, cụm Công nghiệp Từ Liêm, Quận Bắc Từ Liêm, Hà Nội, Việt Nam",Phòng Nhân sự,Trách nhiệm hữu hạn,100-499
Chuyên viên Media,['Hà Nội'],07/12/2024,"Tiếp thị / Marketing , Tiếp thị trực tuyến , Dệt may / Da giày / Thời trang",Nhân viên chính thức,13 Tr - 16 Tr VND,1 - 3 Năm,Nhân viên,07/01/2025,CÔNG TY CỔ PHẦN SẢN XUẤT & XUẤT NHẬP KHẨU HAT+,"Tòa nhà Bình Minh 81 Đàm Quang Trung, Phúc Bồ, Long Biên, Hà Nội",Nguyễn Tiến Đức,Cổ phần,100-499
QUẢN LÝ KHO SẢN XUẤT ( MẢNG TÔN THÉP),['Long An'],07/12/2024,"Quản lý điều hành , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,8 Tr - 15 Tr VND,1 - 5 Năm,Trưởng nhóm / Giám sát,05/01/2025,CÔNG TY TNHH SX-TM THÉP TÂY NAM,Cụm Công nghiệp Thiên Lộc Thành Ấp 4 Long Sơn Cần Đước Long An,Đặng Thị Diệu Ái,Trách nhiệm hữu hạn,500-999
[D2] NHÂN VIÊN CHĂM SÓC KHÁCH HÀNG TRUYỀN HÌNH VIỆT NAM VTVCAB,['Hà Nội'],07/12/2024,"Tư vấn , Tiếp thị / Marketing , Tiếp thị trực tuyến",Nhân viên chính thức,6 Tr - 8 Tr VND,,Nhân viên,15/12/2024,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,100% vốn nước ngoài,1.000-4.999
Nhân Viên Trực Page,['Hà Nội'],07/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,9 Tr - 15 Tr VND,Trên 1 Năm,Nhân viên,06/01/2025,HỆ THỐNG KÍNH MẮT ANNA,"Tòa Viwaseen, Số 48 Tố Hữu, Trung Văn, Nam Từ Liêm, Hà Nội",Ms Hà Phương,Cổ phần,100-499
[H1] NHÂN VIÊN THU NHẬN HỒ SƠ KHÁCH HÀNG - ƯU TIÊN KHÔNG KINH NGHIỆM - THU NHẬP 10 TRIỆU TRỞ LÊN,['Hà Nội'],07/12/2024,"Bảo hiểm , Bất động sản , Bán hàng / Kinh doanh",Nhân viên chính thức,8 Tr - 20 Tr VND,Chưa có kinh nghiệm,Nhân viên,31/01/2025,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,100% vốn nước ngoài,1.000-4.999
Quản đốc sản xuất (kinh nghiệm ngành nội thất),['Bình Dương'],07/12/2024,"Sản xuất / Vận hành sản xuất , Đồ gỗ , Nội ngoại thất",Nhân viên chính thức,Cạnh tranh,5 - 20 Năm,Trưởng nhóm / Giám sát,31/01/2025,VIETNAM FURNITURE RESOURCES (VFR),"47/4 DT743, Binh Chuan Ward, Thuan An Dist.,",Ms. Hương,100% vốn nước ngoài,1.000-4.999
