Tên công việc,Địa điểm,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp
Trợ Lý Kinh Doanh (Sales Admin),['Hồ Chí Minh'],CÔNG TY TNHH BIOGROUP VIETNAM,"VP chính: Tầng 14, Tòa nhà HM Town, 412 Nguyễn Thị Minh Khai, P. 5, Q. 3, HCMC. VP chi nhánh: Số 17, đường số 6, Q. 11, Q. 6, HCMC.",NGUYỄN THANH NHÀN,10-20,Trách nhiệm hữu hạn,16/11/2024,"Dịch vụ khách hàng , Hành chính / Thư ký , Công nghệ sinh học",Nhân viên chính thức,10 Tr - 18 Tr VND,2 - 4 Năm,Nhân viên,11/12/2024
"[G7] _ [BSV] _ Nhân viên văn phòng Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,04/12/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,02/01/2025
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,05/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,03/01/2025
"[G7] _ [BSV] _ Nhân viên văn phòng Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,05/12/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,03/01/2025
"[G7] _ [BSV] _ Nhân viên văn phòng Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,07/11/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,06/12/2024
[G6] _ [BSV] _ Nhân Viên Tư Vấn Dịch Vụ_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,07/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,3 - 6 Năm,Nhân viên,05/01/2025
[G6] _ [BSV] _ Nhân Viên Tư Vấn Dịch Vụ_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,08/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,3 - 6 Năm,Nhân viên,07/12/2024
"[G7] _ [BSV] _ Nhân viên văn phòng Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,08/12/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,06/01/2025
"Giảng viên BM giải phẫu, Mô phôi",['Hồ Chí Minh'],TRƯỜNG ĐẠI HỌC QUỐC TẾ HỒNG BÀNG,"215 Điện Biên Phủ, Phường 15, Quận Bình Thạnh, TP Hồ Chí Minh",HR,500-999,Cổ phần,08/11/2024,"Dược phẩm , Y tế / Chăm sóc sức khỏe , Giáo dục / Đào tạo",Nhân viên chính thức,Cạnh tranh,,Nhân viên,07/12/2024
"[G7] _ [BSV] _ Nhân viên tư vấn Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,09/11/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,08/12/2024
"[G7] _ [BSV] _ Nhân viên tư vấn Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,09/11/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,08/12/2024
"[G7] _ [BSV] _ Nhân viên tư vấn Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,09/11/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,08/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,27/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,26/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,27/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,26/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,27/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,26/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,01/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,30/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,01/12/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,30/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,01/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,30/12/2024
[G7]_[BSV]_Nhân Viên CSKH Viettel Line 198 (Không yêu cầu kinh nghiệm) _ Tân Bình,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,02/12/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,7 Tr - 10 Tr VND,,Nhân viên,31/12/2024
"[G7] _ [BSV] _ Tuyển Nhân Viên văn phòng Viettel Telecom_Quận Tân Bình, Quận 3( Giờ Hành Chính )",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,02/12/2024,"Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,31/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,02/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,31/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,03/12/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,01/01/2025
[G7]_[BSV]_Nhân Viên CSKH Viettel Line 198 (Không yêu cầu kinh nghiệm) _ Tân Bình,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,03/12/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,7 Tr - 10 Tr VND,,Nhân viên,01/01/2025
"[G7] _ [BSV] _ Tuyển Nhân Viên văn phòng Viettel Telecom_Quận Tân Bình, Quận 3( Giờ Hành Chính )",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,03/12/2024,"Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,01/01/2025
"[G7] _ [BSV] _ Viettel Telecom Quận Tân Bình, Quận 3 _ Nhân Viên Tư vấn (Giờ Hành Chính)",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,03/12/2024,"Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,01/01/2025
Thợ hàn,['Hồ Chí Minh'],CÔNG TY TNHH MỘT THÀNH VIÊN CƠ KHÍ CỬU LONG,"400/18 đường HT 17, khu phố 5, Phường Hiệp Thành, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",HR,,Trách nhiệm hữu hạn,23/11/2024,"Cơ khí / Ô tô / Tự động hóa , Bảo trì / Sửa chữa , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,9 Tr - 15 Tr VND,1 - 3 Năm,Nhân viên,22/12/2024
Thợ mài,['Hồ Chí Minh'],CÔNG TY TNHH MỘT THÀNH VIÊN CƠ KHÍ CỬU LONG,"400/18 đường HT 17, khu phố 5, Phường Hiệp Thành, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",HR,,Trách nhiệm hữu hạn,23/11/2024,"Cơ khí / Ô tô / Tự động hóa , Bảo trì / Sửa chữa , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,9 Tr - 15 Tr VND,1 - 3 Năm,Nhân viên,22/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,23/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,22/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,23/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,22/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,24/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,23/12/2024
[G3]_[BSV] TỔNG ĐÀI VIETTEL TELECOM QUẬN 3_NHÂN VIÊN VĂN PHÒNG,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,24/11/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,23/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,16/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,15/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,16/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,15/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,16/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,15/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,17/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,16/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,17/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,16/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,18/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,17/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,18/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,17/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,19/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,18/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,19/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,18/12/2024
TRÌNH DƯỢC VIÊN,['Hồ Chí Minh'],CÔNG TY TNHH DƯỢC PHẨM SWISS VITA,"68 Hiền Vương, Phường Phú Thạnh, Quận Tân Phú, Thành Phố Hồ Chí Minh",HR,,Trách nhiệm hữu hạn,19/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Dược phẩm",Nhân viên chính thức,8 Tr - 25 Tr VND,1 - 3 Năm,Nhân viên,18/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,20/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,19/12/2024
NHÂN VIÊN KINH DOANH THỊ TRƯỜNG,['Hồ Chí Minh'],CÔNG TY TNHH DƯỢC PHẨM SWISS VITA,"68 Hiền Vương, Phường Phú Thạnh, Quận Tân Phú, Thành Phố Hồ Chí Minh",HR,,Trách nhiệm hữu hạn,20/11/2024,"Bán hàng / Kinh doanh , Dược phẩm",Nhân viên chính thức,8 Tr - 25 Tr VND,1 - 3 Năm,Nhân viên,19/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,10/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,09/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,11/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,10/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,11/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,10/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,11/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,10/12/2024
[G5]BSV - Tuyển Tổng Đài Viên Tư Vấn Dịch Vụ Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,11/11/2024,"Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,10/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,12/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,11/12/2024
[G3] _ [TÂN BÌNH_HCM] _Trung Tâm Viettel Telecom_ Nhân Viên Văn Phòng,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,12/11/2024,"Bảo hiểm , Bán hàng / Kinh doanh , Bưu chính viễn thông",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,11/12/2024
[Khaolao - Vạn hạnh Mall] Bếp chính nhà hàng,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI QUỐC TẾ MẶT TRỜI ĐỎ,"Tầng 25 tòa nhà Handico, Số 3 Mễ Trì Hạ, Nam Từ Liêm, Hà Nội",Phòng nhân sự,,Cổ phần,12/11/2024,"Bán hàng / Kinh doanh , Mới tốt nghiệp / Thực tập , Nông nghiệp",Nhân viên chính thức,"7,5 Tr - 9 Tr VND",Lên đến 1 Năm,Nhân viên,11/12/2024
[G5] BSV - Tuyển Tổng Đài Viên Dịch Vụ Viettel Telecom (Giờ Hành Chính),['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,13/11/2024,"Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,12/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,13/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,12/12/2024
[G5] BSV - Tổng Đài Viên Line 198 - Đối Tác Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,13/11/2024,"Bưu chính viễn thông , Bán lẻ / Bán sỉ , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,12/12/2024
"[G7] _ [BSV] _ Nhân viên Tư vấn Dịch vụ Viettel _ Quận Tân Bình, Quận 3 _ Giờ Hành Chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,13/11/2024,"Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,12/12/2024
"[G7] _ [BSV] _ Tư vấn viên Dịch vụ Viettel _ Quận Tân Bình, Quận 3 _ Giờ Hành Chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,13/11/2024,"Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,12/12/2024
