Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động
Kế Toán Tổng Hợp (Thiêt bị y tế/Dược),['Hồ Chí Minh'],26/11/2024,"Kế toán / Kiểm toán , Y tế / Chăm sóc sức khỏe , Dược phẩm",Nhân viên chính thức,10 Tr - 14 Tr VND,Trên 3 Năm,Nhân viên,25/12/2024,CÔNG TY TNHH PHÁT TRIỂN THƯƠNG MẠI DỊCH VỤ VÂN LONG,"40 Bà Huyện Thanh Quan, Phường Võ Thị Sáu, Quận 3, TP Hồ Chí Minh",Ms. Nhung,25-99,Trách nhiệm hữu hạn
Chuyên Viên Tư Vấn Giáo Dục (Ocean Edu Nguyễn Xí - Hồ Chí Minh),['Hồ Chí Minh'],25/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Tư vấn",Nhân viên chính thức,13 Tr - 15 Tr VND,,Nhân viên,24/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,,Cổ phần
[Thủ Đức] Telesale Team Leader,['Hồ Chí Minh'],26/11/2024,"Bán hàng / Kinh doanh , Tiếp thị trực tuyến , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,15 Tr - 18 Tr VND,2 - 4 Năm,Trưởng nhóm / Giám sát,25/12/2024,CÔNG TY TNHH YB SPA,"Số 16, Đường M, P.An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",HRM,100-499,Trách nhiệm hữu hạn
Trưởng phòng kinh doanh Vé Máy Bay Online (OTA),['Hồ Chí Minh'],26/11/2024,"Du lịch , Hàng không",Nhân viên chính thức,20 Tr - 30 Tr VND,Trên 5 Năm,Quản lý,25/12/2024,SOCTRIP,"400/8B - 400/10 Ung Văn Khiêm, phường 25, quận Bình Thạnh, TP. HCM",HRA Dept.,100-499,Công ty đa quốc gia
Trưởng phòng Kinh doanh - B2B,['Hồ Chí Minh'],24/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng",Nhân viên chính thức,25 Tr - 35 Tr VND,5 - 7 Năm,Quản lý,23/12/2024,CÔNG TY CỔ PHẦN DỊCH VỤ NHÀ SẠCH,"39 Hải Thượng Lãn Ông, P.10, Q.5",Phòng Nhân sự,2000,Cổ phần
Chuyên viên Kinh doanh Quốc tế - Nội địa (Lĩnh vực Chất độn Ngành nhựa),"['Hà Nội', 'Hưng Yên', 'Hồ Chí Minh']",21/11/2024,"Bán hàng / Kinh doanh , Xuất nhập khẩu",Nhân viên chính thức,25 Tr - 50 Tr VND,Trên 3 Năm,Nhân viên,20/12/2024,"ADC PLASTIC,. JSC",Số 14-15 A18 BTSL Đường Lê Trọng Tấn - An Khánh - Hoài Đức - Hà Nội,Phòng Nhân sự,100-499,Cổ phần
SEO Content Executive,['Hồ Chí Minh'],23/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,22/12/2024,YES4ALL TRADING SERVICES COMPANY LIMITED,"Floor 2, L'Mak Tower, 127 Hong Ha, Phu Nhuan District, HCMC",Talent Acquisition Team,100-499,
E-Commerce Leader,['Hồ Chí Minh'],23/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Trưởng nhóm / Giám sát,22/12/2024,YES4ALL TRADING SERVICES COMPANY LIMITED,"Floor 2, L'Mak Tower, 127 Hong Ha, Phu Nhuan District, HCMC",Talent Acquisition Team,100-499,
CVCC Phát triển Truyền thông và Trải nghiệm Khách hàng ưu tiên - HCM - TA050,['Hồ Chí Minh'],20/11/2024,"Bán hàng / Kinh doanh , Ngân hàng",Nhân viên chính thức,Cạnh tranh,3 - 6 Năm,Nhân viên,19/12/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,10.000-19.999,Cổ phần
Nhân viên Thu hồi nợ qua điện thoại,"['Hồ Chí Minh', 'Hà Nội']",20/11/2024,"Luật / Pháp lý , Bán hàng / Kinh doanh , Bảo hiểm",Nhân viên chính thức,7 Tr - 15 Tr VND,1 - 3 Năm,Nhân viên,19/12/2024,LOTTE FINANCE VIETNAM,"Tầng 12A, Tháp Tây, tòa nhà LOTTE Center Hà Nội, 54 Liễu Giai",Phòng Nhân sự,,Công ty đa quốc gia
Thiết kế Digital Marketing,['Hồ Chí Minh'],20/11/2024,"Tiếp thị / Marketing , Mỹ thuật / Nghệ thuật / Thiết kế , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,10 Tr - 14 Tr VND,2 - 3 Năm,Nhân viên,19/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI BÁCH TƯỜNG PHÁT,"Tầng 11, Tòa nhà TCT 319 - Pico Plaza, Số 20 Cộng Hòa, Phường 12, Quận Tân Bình, Tp.HCM",Ms Sương,500-999,Cổ phần
Trưởng phòng tăng trưởng,"['Hồ Chí Minh', 'Hà Nội']",18/11/2024,"Tiếp thị / Marketing , Tiếp thị trực tuyến , Bất động sản",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Phó Giám đốc,17/12/2024,,,,,
Nhân viên tư vấn tại sự kiện mảng du lịch và Trị Liệu THCM,['Hồ Chí Minh'],17/11/2024,"Tiếp thị trực tuyến , Nhà hàng / Khách sạn , Du lịch",Nhân viên chính thức,14 Tr - 25 Tr VND,,Nhân viên,16/12/2024,CÔNG TY CỔ PHẦN GREEN TRAVEL VIỆT NAM,"Số 27, Đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",HR,,Cổ phần
"Sales Leader (Lương Cứng Tối Thiểu 12 Triệu, Ưu Tiên Nữ)",['Hồ Chí Minh'],18/11/2024,"Quản lý điều hành , Bán hàng / Kinh doanh , Bán lẻ / Bán sỉ",Nhân viên chính thức,12 Tr - 20 Tr VND,,Trưởng nhóm / Giám sát,17/12/2024,,,,,
NHÂN VIÊN KINH DOANH làm việc tại văn phòng,['Hồ Chí Minh'],14/11/2024,"Bán hàng / Kinh doanh , Thực phẩm & Đồ uống , Tiếp thị / Marketing",Nhân viên chính thức,9 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,13/12/2024,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ NHẬT MINH BAKERY,"131 Vũ Tùng, Phường 2, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Phòng Nhân sự,100-499,Trách nhiệm hữu hạn
[IVYPREP HCM] TRƯỞNG PHÒNG XỬ LÝ HỒ SƠ DU HỌC,['Hồ Chí Minh'],12/11/2024,"Bán hàng / Kinh doanh , Tư vấn , Giáo dục / Đào tạo",Nhân viên chính thức,20 Tr - 25 Tr VND,2 - 3 Năm,Trưởng nhóm / Giám sát,11/12/2024,EQUEST EDUCATION GROUP (EQG),"Canadian International School, Number 7, Road 23, Phu My Hung, Tan Phu Ward, District 7, HCMC",People & Culture Division - Talent Acquisition Department,5.000-9.999,Cổ phần
Sales Executive (Real Estate / Fresh Graduate),['Hồ Chí Minh'],13/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Bất động sản",Nhân viên chính thức,Cạnh tranh,,Nhân viên,12/12/2024,"CBRE (VIETNAM) CO.,LTD","Unit 1201, Me Linh Point Tower, 2 Ngo Duc Ke Street, District 1",HR Department,500-999,Trách nhiệm hữu hạn
Nhân Viên Take Care Quốc Tế (HCM),['Hồ Chí Minh'],11/11/2024,"Du lịch , Tổ chức sự kiện",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,10/12/2024,"CÔNG TY TỔ CHỨC HỘI NGHỊ, SỰ KIỆN VÀ DU LỊCH QUỐC TẾ HÒA BÌNH","29 Đoàn Thị Điểm, Quốc Tử Giám, Đống Đa",Bộ phận Tuyển dụng,,Cá nhân
Chuyên viên Khách hàng Cá nhân - CN. Trường Chinh (CN24.821),['Hồ Chí Minh'],11/11/2024,"Bán hàng / Kinh doanh , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,9 Tr - 35 Tr VND,,Nhân viên,10/12/2024,NGÂN HÀNG TMCP QUÂN ĐỘI,"MB Tower, 18 Lê Văn Lương, Trung Hòa, Cầu Giấy, Hà Nội",Phòng Tuyển dụng,,Cổ phần
[F&B] Giám đốc Kinh doanh (Tôm/GTGT/Seafood),['Hồ Chí Minh'],10/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Thủy sản / Hải sản",Nhân viên chính thức,Cạnh tranh,Trên 5 Năm,Giám đốc,09/12/2024,CÔNG TY CP PHÁT TRIỂN HÙNG HẬU,"613 Âu Cơ, P. Phú Trung, Q. Tân Phú, Tp. HCM",BP. Tuyển Dụng,1.000-4.999,Cổ phần
Senior Marketing Executive (Brand Nike),['Hồ Chí Minh'],04/12/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,03/01/2025,CÔNG TY TNHH THỜI TRANG VÀ MỸ PHẨM ÂU CHÂU,"Tòa nhà Sonatus 15, Lê Thánh Tôn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",Talent Acquisition Team,1.000-4.999,Trách nhiệm hữu hạn
Sales Admin,['Hồ Chí Minh'],05/12/2024,"Hành chính / Thư ký , Dệt may / Da giày / Thời trang , Tiếp thị / Marketing",Nhân viên chính thức,11 Tr - 13 Tr VND,1 - 2 Năm,Nhân viên,05/01/2025,CÔNG TY TNHH T.M.G,"649/83-85 Điện Biên Phủ, phường 25, quận Bình Thạnh, TPHCM",Ms. Lisa,300-499,Trách nhiệm hữu hạn
Human Resources Business Partner (Nhân sự – đối tác kinh doanh) - HCM,['Hồ Chí Minh'],03/12/2024,"Bán hàng / Kinh doanh , Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,Cạnh tranh,3 - 8 Năm,Quản lý,31/01/2025,CÔNG TY TNHH DOCQUITY VIỆT NAM,"Tầng 5 Số 111 Phố Trung Phụng, Phường Thổ Quan, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",Mr An,25-99,Trách nhiệm hữu hạn
Ecommerce Executive (Beauty & Personal Care),['Hồ Chí Minh'],04/12/2024,Bán lẻ / Bán sỉ,Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,05/01/2025,CÔNG TY CỔ PHẦN HASAKI BEAUTY & CLINIC,"48 Lê Văn Sỹ, Phường 13, Quận Phú Nhuận, TP. Hồ Chí Minh",Phòng Tuyển dụng Hasaki,1.000-4.999,Cổ phần
NHÂN VIÊN HÀNH CHÍNH,['Hồ Chí Minh'],09/12/2024,"Hành chính / Thư ký , Nhân sự , Kế toán / Kiểm toán",Nhân viên chính thức,8 Tr - 10 Tr VND,Lên đến 2 Năm,Nhân viên,26/01/2025,NHA KHOA VIỆT MỸ,"1298 Huỳnh Tấn Phát, Phú Mỹ, Quận 7, TP. Hồ Chí Minh",PHÒNG NHÂN SỰ,100-499,Trách nhiệm hữu hạn
Thực Tập Sinh Truyền Thông Nội Bộ,['Hồ Chí Minh'],02/12/2024,"Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông , Mới tốt nghiệp / Thực tập",Thực tập,2 Tr - 2 Tr VND,,Sinh viên/ Thực tập sinh,01/01/2025,CÔNG TY CỔ PHẦN VUA NỆM,"Số 1 Đào Duy Anh, Đống Đa, Hà Nội và 137 Lê Quang Định, Bình Thạnh, Hồ Chí Minh",HR Department,500-999,Cổ phần
Senior Graphic Designer,['Hồ Chí Minh'],09/12/2024,"Tiếp thị / Marketing , Mỹ thuật / Nghệ thuật / Thiết kế",Nhân viên chính thức,15 Tr - 18 Tr VND,3 - 5 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH THIÊN THỦY MỘC,"Tòa nhà VMT, ngõ 82 Duy Tân, Cầu Giấy, Hà Nội",Công ty TNHH TM Thiên Thủy Mộc,100-499,Cổ phần
Planning Intern (Event Agency),['Hồ Chí Minh'],09/12/2024,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông , Tổ chức sự kiện",Thực tập,Cạnh tranh,,Sinh viên/ Thực tập sinh,31/12/2024,CÔNG TY TNHH PER-FECTIV VIỆT NAM,"Lầu 6, 85 Nguyễn Hữu Cầu, Phường Tân Định, Quận 1",Ms. Bùi Dương Minh Châu,25-99,Nhà nước
Lập Trình Viên,['Hồ Chí Minh'],03/12/2024,CNTT - Phần mềm,Nhân viên chính thức,20 Tr - 25 Tr VND,3 - 5 Năm,Nhân viên,02/01/2025,CÔNG TY CỔ PHẦN MIA RETAIL,"117 -119 Bạch Đằng, Phường 15, Quận Bình Thạnh",Tuyển dụng,100-499,Cổ phần
Human Resources And General Affairs Manager (HR & GA Manager),"['Bình Dương', 'Hồ Chí Minh', 'Đồng Nai']",06/12/2024,"Hành chính / Thư ký , Nhân sự , Quản lý điều hành",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Quản lý,29/12/2024,CÔNG TY TNHH RED BULL (VIỆT NAM),"Xa lộ Hà Nội, Bình Thắng, Dĩ An, Bình Dương","Red Bull (Vietnam) Co., Ltd.",,100% vốn nước ngoài
HÀNH CHÍNH THU MUA,['Hồ Chí Minh'],07/12/2024,"Bán hàng / Kinh doanh , Tiếp thị trực tuyến , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,8 Tr - 9 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,TẬP ĐOÀN MEGA HOLDINGS,34 Bạch Đằng Phường 2 Quận Tân Bình,Bộ Phận Nhân Sự,100-499,Cổ phần
International Brand Executive (FMCG/ Beverage),['Hồ Chí Minh'],04/12/2024,Tiếp thị / Marketing,Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,07/12/2024,CÔNG TY CỔ PHẦN GOODY GROUP,"139 Pasteur, Phường Võ Thị Sáu, Quận 3, Tp. HCM",HR Dept,100-499,Cổ phần
Chuyên Viên Mua Hàng Ngành Hàng Hoá Mỹ Phẩm (HBA),"['Hồ Chí Minh', 'Bình Dương']",04/12/2024,"Bán lẻ / Bán sỉ , Hàng gia dụng / Chăm sóc cá nhân , Thu mua / Vật tư",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,27/12/2024,CÔNG TY CỔ PHẦN CÔNG NGHỆ SEN ĐỎ,"Tầng 2, Tòa nhà FPT Tân Thuận. 29B-31B-33B đường Tân Thuận, KCX Tân Thuận",Tuyển dụng Sen Đỏ,,Cổ phần
Chuyên Viên Phân Tích,['Hồ Chí Minh'],04/12/2024,"Kế toán / Kiểm toán , Chứng khoán , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,27/12/2024,CÔNG TY CỔ PHẦN CHỨNG KHOÁN BETA,"Tầng 4-5, 55 Nam Kỳ Khởi Nghĩa ,Phường Nguyễn Thái Bình,Quận 1,",Phòng Nhân sự,,Cổ phần
Quản lý Kinh doanh Khu vực HCM - Tây Nguyên,['Hồ Chí Minh'],03/12/2024,"Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,22 Tr - 26 Tr VND,3 - 10 Năm,Trưởng nhóm / Giám sát,28/12/2024,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU Y TẾ TPHCM,"76 Sương Nguyệt Ánh, P.Bến Thành, Q.1, TP HCM",BP nhân sự tiền lương,100-499,
Trưởng Phòng Pháp Lý,['Hồ Chí Minh'],28/11/2024,Luật / Pháp lý,Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Trưởng nhóm / Giám sát,26/12/2024,CÔNG TY CỔ PHẦN TẬP ĐOÀN VIETPEARL,"Số 191A đường Nguyễn Văn Hưởng, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",HR,25-99,Cổ phần
Import-Export Specialist,['Hồ Chí Minh'],29/11/2024,"Xuất nhập khẩu , Dệt may / Da giày / Thời trang , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,22/12/2024,CÔNG TY TNHH MTV JORDAN MANUFACTURING VIỆT NAM,"Lô C2/I, Đường 2E, KCN Vĩnh Lộc, Xã Vĩnh Lộc A, Huyện Bình Chánh",Ms Thùy Dương,,Trách nhiệm hữu hạn
Nhân viên Kinh doanh thị trường - Kênh Đại lý (GT),"['Hồ Chí Minh', 'Hải Phòng', 'Long An']",06/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,16 Tr - 22 Tr VND,Trên 1 Năm,Nhân viên,31/12/2024,TẬP ĐOÀN KAROFI HOLDING,"Tầng 6, tòa nhà HUDLAND TOWER Lô A-CC7, Hồ Linh Đàm, Hoàng Mai, Hà Nội",Nhân sự Tecomen,1600,Cổ phần
Trưởng bộ phận Quản lý ngành hàng,['Hồ Chí Minh'],05/12/2024,"Sản xuất / Vận hành sản xuất , Thu mua / Vật tư , Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Trưởng nhóm / Giám sát,01/01/2025,,,,,
E-Store & E-Rtc Operation Specialist,['Hồ Chí Minh'],05/12/2024,Thực phẩm & Đồ uống,Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,20/12/2024,CÔNG TY TNHH BIA CARLSBERG VIỆT NAM,"8th floor, BIDV building, 41 Hung Vuong Phu Hoi ward, Hue city, TT Hue",Phòng Tuyển Dụng,100-499,
Interior Designer,['Hồ Chí Minh'],04/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Mỹ thuật / Nghệ thuật / Thiết kế",Nhân viên chính thức,Cạnh tranh,Lên đến 5 Năm,Nhân viên,31/01/2025,CÔNG TY TNHH MAKER SIXTY FOUR,"Lô E2, đường số 1, KCN Tân Đô, xã Đức Hòa Hạ, huyện Đức Hòa, tỉnh Long An",HR Dept.,500-999,100% vốn nước ngoài
Trưởng phòng bảo hành (Ngành hàng điều hòa),['Hồ Chí Minh'],26/11/2024,"Dịch vụ khách hàng , Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Trưởng nhóm / Giám sát,31/12/2024,CÔNG TY TNHH HISENSE VIETNAM,"Phòng 903, tầng 9, Royal Tower A, 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1",Ms Vân,25-99,100% vốn nước ngoài
Quản Lý Cửa Hàng (Quận 3),['Hồ Chí Minh'],02/12/2024,Bán lẻ / Bán sỉ,Nhân viên chính thức,12 Tr - 14 Tr VND,Lên đến 1 Năm,Nhân viên,18/12/2024,CÔNG TY TNHH JOYCO RETAIL OPERATIONS,"Tầng 03 tòa nhà PLS, số 279 Hoàng Sa, Phường Tân Định, Quận 1, TP.HCM",Cát Tường,25-99,Trách nhiệm hữu hạn
General Manager/ Residence Manager - South Vietnam,['Hồ Chí Minh'],26/11/2024,"Quản lý điều hành , Nhà hàng / Khách sạn , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,5 - 6 Năm,Giám đốc,20/12/2024,SOMERSET SERVICED RESIDENCE,"11 Mac Dinh Chi Street, Ben Nghe Ward, Dist. 1",HR Team,300,Liên doanh
NHÂN VIÊN QAQC - LÀM VIỆC TẠI THÀNH PHỐ ĐÀ LẠT - GẤP,"['Lâm Đồng', 'Hồ Chí Minh']",05/12/2024,"Kiến trúc , Xây dựng , Nội ngoại thất",Nhân viên chính thức,15 Tr - 20 Tr VND,2 - 10 Năm,Nhân viên,14/12/2024,,,,,
Chuyên viên tài chính,['Hồ Chí Minh'],27/11/2024,"Kế toán / Kiểm toán , Tài chính / Đầu tư",Nhân viên chính thức,24 Tr - 30 Tr VND,3 - 5 Năm,Nhân viên,11/12/2024,CÔNG TY CP TẬP ĐOÀN TÂN LONG,"Trụ sở chính tầng 14, tòa nhà Diamond Flower, số 48 Lê Văn Lương, Thanh Xuân, Hà Nội",Bộ Phận Tuyển Dụng,Hơn 2500,Cổ phần
Brand Manager (Mạnh Creative),['Hồ Chí Minh'],04/12/2024,Quảng cáo / Đối ngoại / Truyền Thông,Nhân viên chính thức,20 Tr - 30 Tr VND,3 - 5 Năm,Trưởng nhóm / Giám sát,13/12/2024,,,,,
Receivable Accountant (Kế toán phải thu),['Hồ Chí Minh'],27/11/2024,Kế toán / Kiểm toán,Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,12/12/2024,,,,,
Nhân viên Kinh doanh Thức Ăn Thú Cưng (HCM),['Hồ Chí Minh'],04/12/2024,"Chăn nuôi / Thú y , Công nghệ thực phẩm / Dinh dưỡng , Công nghệ sinh học",Nhân viên chính thức,Cạnh tranh,,Nhân viên,31/12/2024,DE HEUS LLC,"12B Floor, Sofic Tower No.10 Mai Chi Tho, Thu Thiem, Thu Duc City",HR.DEPT,1.000-4.999,100% vốn nước ngoài
[SSV] Personal Assistant to the Principal,['Hồ Chí Minh'],03/12/2024,"Giáo dục / Đào tạo , Hành chính / Thư ký",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,31/12/2024,EQUEST EDUCATION GROUP (EQG),"Canadian International School, Number 7, Road 23, Phu My Hung, Tan Phu Ward, District 7, HCMC",People & Culture Division - Talent Acquisition Department,5.000-9.999,Cổ phần
Thư Ký Tiếng Anh,['Hồ Chí Minh'],26/11/2024,"Hành chính / Thư ký , Biên phiên dịch , Giáo dục / Đào tạo","Nhân viên chính thức, Bán thời gian",Cạnh tranh,Trên 1 Năm,Nhân viên,11/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG TRUNG NAM (TRUNGNAM GROUP),"7A/68 Thành Thái, Phường 14, Quận 10",Ban Nhân sự,1.000-4.999,Cổ phần
Nhân viên thống kê sản xuất,['Hồ Chí Minh'],26/11/2024,"Kế toán / Kiểm toán , Thống kê , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,9 Tr - 10 Tr VND,3 - 5 Năm,Nhân viên,12/12/2024,CÔNG TY TNHH SX-TM-DV QUI PHÚC,"111/39/4 Tây Lân, Phường Tân Tạo, Quận Bình Tân, TP. Hồ Chí Minh",Bộ Phận Tuyển Dụng,1.000-4.999,Trách nhiệm hữu hạn
Thông dịch viên tiếng Hàn,['Hồ Chí Minh'],02/12/2024,"Hành chính / Thư ký , Biên phiên dịch , Ngành khác",Nhân viên chính thức,17 Tr - 23 Tr VND,3 - 5 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH COBI ONE,Quận 7,Ms.Hằng,100-499,
Communication Specialist,['Hồ Chí Minh'],02/12/2024,"Tiếp thị / Marketing , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,15 Tr - 18 Tr VND,2 - 3 Năm,Nhân viên,30/11/2024,CÔNG TY TNHH THIÊN THỦY MỘC,"Tòa nhà VMT, ngõ 82 Duy Tân, Cầu Giấy, Hà Nội",Công ty TNHH TM Thiên Thủy Mộc,100-499,Cổ phần
Chỉ huy trưởng công trình,['Hồ Chí Minh'],23/11/2024,Xây dựng,Nhân viên chính thức,25 Tr - 29 Tr VND,Trên 5 Năm,Trưởng nhóm / Giám sát,25/11/2024,CHI NHÁNH CÔNG TY CP PHÚC THÀNH AN,"LM81-41.OT08 Tòa nhà Landmark 81 Vinhomes Central Park,720A Điện Biên Phủ, Phường 22, Quận Bình Thạnh, TP Hồ Chí Minh",Tuyết,100-499,Cổ phần
Chuyên viên Quản lý Sự Cố IT,['Hồ Chí Minh'],28/11/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,31/12/2024,,,,,
ACCOUNTS PAYABLE SPECIALIST,[],,,,,,,,,,,,
Nhân viên ISO,['Hồ Chí Minh'],29/11/2024,Quản lý chất lượng (QA/QC),Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,30/11/2024,CÔNG TY CỔ PHẦN SẢN XUẤT NHỰA DUY TÂN,"298 Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, TP.HCM",Phòng Tuyển Dụng,,Cổ phần
"SENIOR GRAPHIC DESIGNER (SHTP - DISTRICT 9, HCMC)",[],,,,,,,,,,,,
Manual Tester,['Hồ Chí Minh'],27/11/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,15/12/2024,CÔNG TY TNHH CÔNG NGHỆ B2B,"Tầng 12B, Tòa nhà Cienco4, 180 Nguyễn Thị Minh Khai, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",HR,,Trách nhiệm hữu hạn
"GIÁM SÁT NHÀ HÀNG / SHIFT SUPERVISOR ( THỦ ĐỨC, TÂN PHÚ, BÌNH TÂN, QUẬN 10)",['Hồ Chí Minh'],03/12/2024,"Thực phẩm & Đồ uống , Quản lý điều hành , Nhà hàng / Khách sạn",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Trưởng nhóm / Giám sát,01/01/2025,CÔNG TY CỔ PHẦN TẦM NHÌN QUỐC TẾ ALADDIN,"43-45 Nguyễn Thị Thập, Him Lam, Tân Hưng, Quận 7, TP. Hồ Chí Minh",PHÒNG NHÂN SỰ ALADDIN,1.000-4.999,Cổ phần
CHUYÊN VIÊN DIGITAL MARKETING,[],,,,,,,,,,,,
[HHD] Kế toán tổng hợp,['Hồ Chí Minh'],04/12/2024,"Kế toán / Kiểm toán , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Nhân viên,02/01/2025,CÔNG TY CP PHÁT TRIỂN HÙNG HẬU,"613 Âu Cơ, P. Phú Trung, Q. Tân Phú, Tp. HCM",BP. Tuyển Dụng,1.000-4.999,Cổ phần
Retail Supervisor (Trade),['Hồ Chí Minh'],05/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Hàng gia dụng / Chăm sóc cá nhân",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Trưởng nhóm / Giám sát,03/01/2025,TCL (VIETNAM) CORPORATION LIMITED,"5th Floors, Lottery Tower, No. 77 Tran Nhan Ton Street, Ward 9, District 5, Ho Chi Minh City",HR Dept.,,100% vốn nước ngoài
Nhân viên ISO,['Hồ Chí Minh'],30/11/2024,Quản lý chất lượng (QA/QC),Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,29/12/2024,CÔNG TY CỔ PHẦN SẢN XUẤT NHỰA DUY TÂN,"298 Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, TP.HCM",Phòng Tuyển Dụng,,Cổ phần
Trưởng phòng Thu hồi nợ muộn (B7+),['Hồ Chí Minh'],01/12/2024,"Luật / Pháp lý , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 5 Năm,Quản lý,30/12/2024,CÔNG TY TÀI CHÍNH BƯU ĐIỆN,Số 3 Đặng Thái Thân - Phường Phan Chu Trinh - Quận Hoàn Kiếm - Thành Phố Hà Nội.,Phòng Thu hút nhân tài,1.000-4.999,Trách nhiệm hữu hạn
